No.,Tree,Inoculation,Sample,Replicate,pseudorep,colonies,dilution,cfu/ml,cfu_ml_scientific,log_cfu_ml,time
,t33,c,PBS,5,2,,,,,0,T0
,t33,c,PBS,5,3,,,,,0,T0
,t33,d,PBS,5,1,,,,,0,T0
,t33,d,PBS,5,2,,,,,0,T0
,t33,d,PBS,5,3,,,,,0,T0
,t34,a,W15.13_WT,5,1,,,,,5.367978647,T0
,t34,a,W15.13_WT,5,2,,,,,5.602061077,T0
,t34,a,W15.13_WT,5,3,,,,,5.564272615,T0
,t34,b,W15.13_WT,5,1,,,,,6.124939062,T0
,t34,b,W15.13_WT,5,2,,,,,6.367976971,T0
,t34,b,W15.13_WT,5,3,,,,,6.22184901,T0
,t34,c,W15.13_WT,5,1,,,,,6.301030213,T0
,t34,c,W15.13_WT,5,2,,,,,6.367976971,T0
,t34,c,W15.13_WT,5,3,,,,,6.301030213,T0
,t34,d,W15.13_WT,5,1,,,,,6.22184901,T0
,t34,d,W15.13_WT,5,2,,,,,6.22184901,T0
,t34,d,W15.13_WT,5,3,,,,,6.000000434,T0
,t35,a,W16.3_GacA?,5,1,,,,,5.823909392,T0
,t35,a,W16.3_GacA?,5,2,,,,,6.124939062,T0
,t35,a,W16.3_GacA?,5,3,,,,,6.522878876,T0
,t35,b,W16.3_GacA?,5,1,,,,,5.477122702,T0
,t35,b,W16.3_GacA?,5,2,,,,,5.367978647,T0
,t35,b,W16.3_GacA?,5,3,,,,,5.221851355,T0
,t35,c,W16.3_GacA?,5,1,,,,,6.367976971,T0
,t35,c,W16.3_GacA?,5,2,,,,,6.425968895,T0
,t35,c,W16.3_GacA?,5,3,,,,,6.22184901,T0
,t35,d,W16.3_GacA?,5,1,,,,,5.564272615,T0
,t35,d,W16.3_GacA?,5,2,,,,,5.522880048,T0
,t35,d,W16.3_GacA?,5,3,,,,,5.367978647,T0
,t36,a,W16.3_GacS?,5,1,,,,,6.124939062,T0
,t36,a,W16.3_GacS?,5,2,,,,,6.124939062,T0
,t36,a,W16.3_GacS?,5,3,,,,,6.124939062,T0
,t36,b,W16.3_GacS?,5,1,,,,,6.22184901,T0
,t36,b,W16.3_GacS?,5,2,,,,,5.823909392,T0
,t36,b,W16.3_GacS?,5,3,,,,,5.522880048,T0
,t36,c,W16.3_GacS?,5,1,,,,,5.823909392,T0
,t36,c,W16.3_GacS?,5,2,,,,,6.301030213,T0
,t36,c,W16.3_GacS?,5,3,,,,,6.000000434,T0
,t36,d,W16.3_GacS?,5,1,,,,,5.522880048,T0
,t36,d,W16.3_GacS?,5,2,,,,,5.6368231,T0
,t36,d,W16.3_GacS?,5,3,,,,,5.477122702,T0
,t37,a,W16.3_WT,5,1,,,,,5.564272615,T0
,t37,a,W16.3_WT,5,2,,,,,5.367978647,T0
,t37,a,W16.3_WT,5,3,,,,,5.823909392,T0
,t37,b,W16.3_WT,5,1,,,,,6.124939062,T0
,t37,b,W16.3_WT,5,2,,,,,6.000000434,T0
,t37,b,W16.3_WT,5,3,,,,,6.124939062,T0
,t37,c,W16.3_WT,5,1,,,,,6.367976971,T0
,t37,c,W16.3_WT,5,2,,,,,6.22184901,T0
,t37,c,W16.3_WT,5,3,,,,,6.22184901,T0
,t37,d,W16.3_WT,5,1,,,,,6.522878876,T0
,t37,d,W16.3_WT,5,2,,,,,6.823908806,T0
,t37,d,W16.3_WT,5,3,,,,,6.823908806,T0
,t38,a,W23.13_WT,5,1,,,,,5.522880048,T0
,t38,a,W23.13_WT,5,2,,,,,5.602061077,T0
,t38,a,W23.13_WT,5,3,,,,,5.669007712,T0
,t38,b,W23.13_WT,5,1,,,,,5.801633032,T0
,t38,b,W23.13_WT,5,2,,,,,5.753328433,T0
,t38,b,W23.13_WT,5,3,,,,,5.602061077,T0
,t38,c,W23.13_WT,5,1,,,,,5.753328433,T0
,t38,c,W23.13_WT,5,2,,,,,5.84509866,T0
,t38,c,W23.13_WT,5,3,,,,,5.865302018,T0
,t38,d,W23.13_WT,5,1,,,,,5.823909392,T0
,t38,d,W23.13_WT,5,2,,,,,5.698970873,T0
,t38,d,W23.13_WT,5,3,,,,,5.90309053,T0
,t39,a,WT:GacA_1:2,5,1,,,,,5.823909392,T0
,t39,a,WT:GacA_1:2,5,2,,,,,6.301030213,T0
,t39,a,WT:GacA_1:2,5,3,,,,,6.124939062,T0
,t39,b,WT:GacA_1:2,5,1,,,,,6.000000434,T0
,t39,b,WT:GacA_1:2,5,2,,,,,6.124939062,T0
,t39,b,WT:GacA_1:2,5,3,,,,,6.000000434,T0
,t39,c,WT:GacA_1:2,5,1,,,,,6.301030213,T0
,t39,c,WT:GacA_1:2,5,2,,,,,5.823909392,T0
,t39,c,WT:GacA_1:2,5,3,,,,,6.000000434,T0
,t39,d,WT:GacA_1:2,5,1,,,,,6.124939062,T0
,t39,d,WT:GacA_1:2,5,2,,,,,6.124939062,T0
,t39,d,WT:GacA_1:2,5,3,,,,,6.301030213,T0
,t40,a,WT:GacA_2:1,5,1,,,,,5.124941994,T0
,t40,a,WT:GacA_2:1,5,2,,,,,5.301032167,T0
,t40,a,WT:GacA_2:1,5,3,,,,,4.823915255,T0
,t40,b,WT:GacA_2:1,5,1,,,,,6.000000434,T0
,t40,b,WT:GacA_2:1,5,2,,,,,5.823909392,T0
,t40,b,WT:GacA_2:1,5,3,,,,,6.22184901,T0
,t40,c,WT:GacA_2:1,5,1,,,,,5.477122702,T0
,t40,c,WT:GacA_2:1,5,2,,,,,5.522880048,T0
,t40,c,WT:GacA_2:1,5,3,,,,,5.367978647,T0
,t40,d,WT:GacA_2:1,5,1,,,,,5.522880048,T0
,t40,d,WT:GacA_2:1,5,2,,,,,5.522880048,T0
,t40,d,WT:GacA_2:1,5,3,,,,,6.000000434,T0
