plate,Assay_plate,Phenotype
plate1,S1,TSB
plate1,S2,TSB_Strep
plate2,S1,TSB_Pen
plate2,S2,TSB_Tet
plate3,S1,M9_Glyc
plate3,S2,M9_Pcoum
plate4,S1,M9_Suc
plate4,S2,M9_Val
plate5,S1,M9_Ser
plate5,S2,NA
plate6,S1,TSB_PEG
plate6,S2,TSB_NaCl
plate7,S1,M9
plate7,S2,M9_Frax
plate8,S1,M9_Quin
plate8,S2,M9_Gluc
plate9,S1,M9_Pcoum_Gluc
plate9,S2,M9_Quin_Gluc
plate10,S1,M9_Frax_Gluc
plate10,S2,M9_Val_Gluc
plate11,S1,M9_Ser_Gluc
plate11,S2,KBB
